SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532538,ULTRATECH CM,A ,Q,6585.00,6634.95,6464.15,6513.25,6513.50,6519.05,2044,28163,184976165.00,
532539,MINDA IND   ,A ,Q,564.10,574.10,546.55,552.20,550.15,564.80,762,12812,7181730.00,
532540,TCS LTD.    ,A ,Q,3122.00,3145.00,2986.30,3036.80,3036.80,3112.70,6613,94103,289029868.00,
532541,COFORGE     ,A ,Q,2995.00,2995.00,2843.40,2877.15,2877.15,2952.20,2284,16517,48062846.00,
532543,GULFPETRO   ,B ,Q,42.00,42.00,37.70,38.85,38.85,40.45,218,11696,461322.00,
532548,CENTURYPLY  ,A ,Q,310.25,311.15,303.00,305.05,306.30,310.05,336,5050,1554169.00,
532553,WELENT      ,A ,Q,117.25,119.75,108.60,111.05,112.05,116.10,1446,73145,8295576.00,
532555,NTPC LTD    ,A ,Q,107.75,108.20,103.25,103.75,104.35,106.45,3360,775385,82223080.00,
532604,SALSTEEL    ,B ,Q,3.59,3.73,3.59,3.64,3.64,3.73,15,3867,14043.00,
532605,JBM AUTO    ,B ,Q,430.05,450.00,421.50,428.35,428.35,436.45,527,4302,1859684.00,
532610,DWAR SUGAR  ,A ,Q,33.00,34.30,31.80,32.25,32.25,32.65,571,149847,5002468.00,
532612,INDOCO REM  ,A ,Q,283.30,287.70,276.05,281.60,287.70,280.05,478,6313,1766247.00,
532613,VIPCLOTHNG  ,T ,Q,14.30,15.40,14.30,14.50,14.65,14.83,50,15785,233483.00,
532614,IMPEX       ,B ,Q,0.98,0.98,0.98,0.98,0.98,0.94,3,900,882.00,
